Date,"it.wikipedia.org"
2019-01-01,4398708
2019-01-02,6149137
2019-01-03,6413560
2019-01-04,6152839
2019-01-05,5507136
2019-01-06,5616620
2019-01-07,6957789
2019-01-08,7111188
2019-01-09,6864994
2019-01-10,6811078
2019-01-11,6414430
2019-01-12,4742679
2019-01-13,5613672
2019-01-14,7180978
2019-01-15,6921931
2019-01-16,6700104
2019-01-17,9939061
2019-01-18,6482202
2019-01-19,5216727
2019-01-20,5648469
2019-01-21,7099904
2019-01-22,7205188
2019-01-23,7597295
2019-01-24,6869408
2019-01-25,6576292
2019-01-26,5367987
2019-01-27,5798985
2019-01-28,7252108
2019-01-29,7064466
2019-01-30,6956211
2019-01-31,6822060
2019-02-01,6541927
2019-02-02,5859897
2019-02-03,5711898
2019-02-04,7109971
2019-02-05,6855474
2019-02-06,6687997
2019-02-07,6531261
2019-02-08,6460512
2019-02-09,5181982
2019-02-10,5326931
2019-02-11,7111786
2019-02-12,7024437
2019-02-13,6869085
2019-02-14,6514193
2019-02-15,6390610
2019-02-16,5183031
2019-02-17,5664303
2019-02-18,7355216
2019-02-19,7230524
2019-02-20,7023842
2019-02-21,6877715
2019-02-22,6558477
2019-02-23,5433587
2019-02-24,5630639
2019-02-25,7320924
2019-02-26,7236473
2019-02-27,6613810
2019-02-28,6451760
2019-03-01,6003922
2019-03-02,4930311
2019-03-03,4892853
2019-03-04,6741955
2019-03-05,6469372
2019-03-06,6321646
2019-03-07,6444935
2019-03-08,5978752
2019-03-09,4950043
2019-03-10,5330492
2019-03-11,6637692
2019-03-12,6542115
2019-03-13,6475450
2019-03-14,6497327
2019-03-15,5734496
2019-03-16,4590811
2019-03-17,5048565
2019-03-18,6390730
2019-03-19,6407968
2019-03-20,6199218
2019-03-21,6063943
2019-03-22,5930675
2019-03-23,4642671
2019-03-24,4672706
2019-03-25,5247489
2019-03-26,6477072
2019-03-27,6606267
2019-03-28,6272707
2019-03-29,5648045
2019-03-30,4432201
2019-03-31,4578324
2019-04-01,6270008
2019-04-02,5993664
2019-04-03,6042182
2019-04-04,6418450
2019-04-05,5847416
2019-04-06,4720746
2019-04-07,5181240
2019-04-08,6297044
2019-04-09,6146496
2019-04-10,6307484
2019-04-11,6367084
2019-04-12,5888321
2019-04-13,4896292
2019-04-14,5278305
2019-04-15,6117359
2019-04-16,6184629
2019-04-17,5669007
2019-04-18,5745424
2019-04-19,5281171
2019-04-20,3949810
2019-04-21,3798703
2019-04-22,4328918
2019-04-23,6424669
2019-04-24,5893765
2019-04-25,4832944
2019-04-26,5476428
2019-04-27,4536427
2019-04-28,4988667
2019-04-29,6282472
2019-04-30,5819152
2019-05-01,5247936
2019-05-02,6401871
2019-05-03,5942953
2019-05-04,5052292
2019-05-05,5393704
2019-05-06,6433074
2019-05-07,6274429
2019-05-08,6173299
2019-05-09,6074703
2019-05-10,5542420
2019-05-11,4655354
2019-05-12,5168479
2019-05-13,6385902
2019-05-14,6347397
2019-05-15,6053937
2019-05-16,5939868
2019-05-17,5698492
2019-05-18,4940280
2019-05-19,5300590
2019-05-20,6792332
2019-05-21,6809481
2019-05-22,6527850
2019-05-23,6597681
2019-05-24,5814314
2019-05-25,4827694
2019-05-26,5192485
2019-05-27,6916172
2019-05-28,6711082
2019-05-29,6636072
2019-05-30,6359158
2019-05-31,5736550
2019-06-01,4710166
2019-06-02,5017022
2019-06-03,6424587
2019-06-04,6522148
2019-06-05,6902698
2019-06-06,6103079
2019-06-07,5650596
2019-06-08,4544982
2019-06-09,4705066
2019-06-10,6391938
2019-06-11,6563905
2019-06-12,6304202
2019-06-13,5859563
2019-06-14,5753479
2019-06-15,4776583
2019-06-16,4693621
2019-06-17,6432492
2019-06-18,6372736
2019-06-19,5990208
2019-06-20,6218154
2019-06-21,6075776
2019-06-22,4503715
2019-06-23,4783851
2019-06-24,6515944
2019-06-25,6566416
2019-06-26,5714521
2019-06-27,5448139
2019-06-28,5018502
2019-06-29,3865606
2019-06-30,4227928
2019-07-01,5691453
2019-07-02,5686372
2019-07-03,5896929
2019-07-04,5636943
2019-07-05,5078713
2019-07-06,4092661
2019-07-07,4532704
2019-07-08,6697125
2019-07-09,5890744
2019-07-10,5743818
2019-07-11,5622152
2019-07-12,5396283
2019-07-13,4333282
2019-07-14,4270056
2019-07-15,7094133
2019-07-16,5625491
2019-07-17,5560590
2019-07-18,5162260
2019-07-19,5376992
2019-07-20,4044877
2019-07-21,4232181
2019-07-22,5798863
2019-07-23,5585212
2019-07-24,5407745
2019-07-25,5499100
2019-07-26,4841488
2019-07-27,3902454
2019-07-28,4154689
2019-07-29,5260598
2019-07-30,5172850
2019-07-31,5146488
2019-08-01,4937059
2019-08-02,4929847
2019-08-03,4191655
2019-08-04,3914931
2019-08-05,5067512
2019-08-06,5040016
2019-08-07,4982561
2019-08-08,4952247
2019-08-09,4618091
2019-08-10,3747564
2019-08-11,3892424
2019-08-12,4497707
2019-08-13,4473321
2019-08-14,4292800
2019-08-15,3470876
2019-08-16,4094861
2019-08-17,3843469
2019-08-18,3922638
2019-08-19,4964717
2019-08-20,5078162
2019-08-21,5393630
2019-08-22,5236612
2019-08-23,5081047
2019-08-24,4047592
2019-08-25,4101874
2019-08-26,5403298
2019-08-27,5793610
2019-08-28,5650828
2019-08-29,5729727
2019-08-30,5419312
2019-08-31,4177766
2019-09-01,8444732
2019-09-02,8772668
2019-09-03,6055149
2019-09-04,6053888
2019-09-05,6050413
2019-09-06,4847984
2019-09-07,3945234
2019-09-08,4544950
2019-09-09,5940622
2019-09-10,5995580
2019-09-11,6032437
2019-09-12,5793875
2019-09-13,5693864
2019-09-14,4062934
2019-09-15,4758121
2019-09-16,6136484
2019-09-17,5734405
2019-09-18,5802229
2019-09-19,6217471
2019-09-20,5524795
2019-09-21,4183521
2019-09-22,4951787
2019-09-23,6386120
2019-09-24,6073982
2019-09-25,5836664
2019-09-26,5633452
2019-09-27,5334438
2019-09-28,4178086
2019-09-29,4491862
2019-09-30,5877118
2019-10-01,5741123
2019-10-02,5872403
2019-10-03,5855592
2019-10-04,5590243
2019-10-05,4552149
2019-10-06,4656188
2019-10-07,6002321
2019-10-08,6080105
2019-10-09,6095057
2019-10-10,6025951
2019-10-11,5697479
2019-10-12,4434389
2019-10-13,4840626
2019-10-14,6637871
2019-10-15,6429393
2019-10-16,6103286
2019-10-17,5750302
2019-10-18,5577705
2019-10-19,4381015
2019-10-20,4710828
2019-10-21,6971589
2019-10-22,6702909
2019-10-23,6088023
2019-10-24,6035562
2019-10-25,5572305
2019-10-26,4386729
2019-10-27,4787097
2019-10-28,5967596
2019-10-29,5979236
2019-10-30,5682200
2019-10-31,5169466
2019-11-01,4970458
2019-11-02,6628775
2019-11-03,5168798
2019-11-04,6158676
2019-11-05,6067941
2019-11-06,6035195
2019-11-07,5558293
2019-11-08,5375833
2019-11-09,4325214
2019-11-10,4465283
2019-11-11,6177552
2019-11-12,6592730
2019-11-13,5714351
2019-11-14,5477663
2019-11-15,5501186
2019-11-16,4232704
2019-11-17,4526717
2019-11-18,5717030
2019-11-19,5639113
2019-11-20,5744614
2019-11-21,8416906
2019-11-22,5781894
2019-11-23,4166482
2019-11-24,4703254
2019-11-25,5664289
2019-11-26,5222679
2019-11-27,5240880
2019-11-28,5078095
