Date,"it.wikipedia.org"
2018-01-01,4010523
2018-01-02,6046907
2018-01-03,6195962
2018-01-04,6377524
2018-01-05,6024187
2018-01-06,5267869
2018-01-07,6034949
2018-01-08,7227055
2018-01-09,7301126
2018-01-10,7070976
2018-01-11,6920894
2018-01-12,6455599
2018-01-13,4951873
2018-01-14,5731244
2018-01-15,6986408
2018-01-16,6878012
2018-01-17,6808628
2018-01-18,6546102
2018-01-19,6327447
2018-01-20,4990625
2018-01-21,5352547
2018-01-22,7206165
2018-01-23,6895074
2018-01-24,6643455
2018-01-25,6728245
2018-01-26,6211269
2018-01-27,4960004
2018-01-28,5335507
2018-01-29,6975191
2018-01-30,6699660
2018-01-31,6607961
2018-02-01,6584065
2018-02-02,6255204
2018-02-03,5175596
2018-02-04,5399561
2018-02-05,7029479
2018-02-06,6937934
2018-02-07,6783045
2018-02-08,6640334
2018-02-09,5985363
2018-02-10,4800538
2018-02-11,5214563
2018-02-12,6823418
2018-02-13,6528783
2018-02-14,6325671
2018-02-15,6379712
2018-02-16,6157359
2018-02-17,4860141
2018-02-18,5593088
2018-02-19,6937381
2018-02-20,6675980
2018-02-21,6482323
2018-02-22,6390529
2018-02-23,6259555
2018-02-24,4964198
2018-02-25,5624169
2018-02-26,6619529
2018-02-27,6329389
2018-02-28,5855841
2018-03-01,6251427
2018-03-02,5940364
2018-03-03,4774884
2018-03-04,5031236
2018-03-05,6479706
2018-03-06,6381555
2018-03-07,6316880
2018-03-08,6028148
2018-03-09,5675426
2018-03-10,4637359
2018-03-11,5211673
2018-03-12,6421725
2018-03-13,6324841
2018-03-14,7255172
2018-03-15,6316714
2018-03-16,5931797
2018-03-17,5305525
2018-03-18,5596345
2018-03-19,6768221
2018-03-20,7038319
2018-03-21,6679241
2018-03-22,6471927
2018-03-23,5922721
2018-03-24,5011260
2018-03-25,5292499
2018-03-26,6868459
2018-03-27,6124514
2018-03-28,5763288
2018-03-29,5936960
2018-03-30,5485311
2018-03-31,4674720
2018-04-01,4051919
2018-04-02,4454070
2018-04-03,6953304
2018-04-04,6555421
2018-04-05,6546152
2018-04-06,6273530
2018-04-07,4779904
2018-04-08,5228898
2018-04-09,6641359
2018-04-10,6332053
2018-04-11,6173844
2018-04-12,6402856
2018-04-13,6695195
2018-04-14,5071700
2018-04-15,5174675
2018-04-16,6412862
2018-04-17,6134146
2018-04-18,6053337
2018-04-19,5933516
2018-04-20,5797686
2018-04-21,4599271
2018-04-22,4728142
2018-04-23,6285547
2018-04-24,5827826
2018-04-25,4922597
2018-04-26,6195533
2018-04-27,5844005
2018-04-28,4484956
2018-04-29,4503670
2018-04-30,5861436
2018-05-01,5521628
2018-05-02,7936291
2018-05-03,10338844
2018-05-04,6642637
2018-05-05,5203283
2018-05-06,5199084
2018-05-07,8368405
2018-05-08,6626920
2018-05-09,6690812
2018-05-10,6856810
2018-05-11,6581561
2018-05-12,5295064
2018-05-13,6368708
2018-05-14,12940763
2018-05-15,8867788
2018-05-16,10213868
2018-05-17,8294513
2018-05-18,7734460
2018-05-19,5264049
2018-05-20,5641684
2018-05-21,7392275
2018-05-22,7450685
2018-05-23,7500618
2018-05-24,6901564
2018-05-25,5906244
2018-05-26,4888425
2018-05-27,5255175
